timestamp,rule_based_wqi,adaptive_wqi,anomaly_flag,ph_now,ph_ci_lower,temp_now,temp_ci_upper,delta
2026-01-01 02:50:00,98.9,99.6,0,7.01,6.938099419641996,23.1,23.822023038690322,-0.6999999999999886
2026-01-01 02:55:00,98.9,99.6,0,7.01,6.938099419641996,23.1,23.822023038690322,-0.6999999999999886
2026-01-01 03:00:00,98.9,99.6,0,7.01,6.938099419641996,23.1,23.822023038690322,-0.6999999999999886
2026-01-01 03:05:00,99.3,100.0,0,7.01,6.938099419641996,23.1,23.822023038690322,-0.7000000000000028
2026-01-01 03:10:00,99.3,100.0,0,7.01,6.938099419641996,23.1,23.822023038690322,-0.7000000000000028
2026-01-01 03:15:00,99.3,100.0,0,7.01,6.938099419641996,23.1,23.822023038690322,-0.7000000000000028
2026-01-01 03:20:00,99.3,100.0,0,7.01,6.938099419641996,23.0,23.822023038690322,-0.7000000000000028
2026-01-01 03:25:00,99.3,100.0,0,7.01,6.938099419641996,23.0,23.822023038690322,-0.7000000000000028
2026-01-01 03:30:00,99.3,100.0,0,7.01,6.938099419641996,23.0,23.822023038690322,-0.7000000000000028
2026-01-01 03:35:00,99.3,100.0,0,7.01,6.938099419641996,23.0,23.822023038690322,-0.7000000000000028
2026-01-01 03:40:00,99.3,100.0,0,7.01,6.938099419641996,23.0,23.822023038690322,-0.7000000000000028
2026-01-01 03:45:00,97.2,100.0,0,7.04,6.938099419641996,23.1,23.822023038690322,-2.799999999999997
2026-01-01 03:50:00,97.2,100.0,0,7.04,6.938099419641996,23.0,23.822023038690322,-2.799999999999997
2026-01-01 03:55:00,96.5,100.0,0,7.05,6.938099419641996,22.9,23.822023038690322,-3.5
2026-01-01 04:00:00,96.5,100.0,0,7.05,6.938099419641996,23.1,23.822023038690322,-3.5
2026-01-01 04:05:00,96.5,100.0,0,7.05,6.938099419641996,23.1,23.822023038690322,-3.5
2026-01-01 04:10:00,96.5,100.0,0,7.05,6.938099419641996,23.2,23.822023038690322,-3.5
2026-01-01 04:15:00,96.5,100.0,0,7.05,6.938099419641996,23.2,23.822023038690322,-3.5
2026-01-01 04:20:00,96.5,100.0,0,7.05,6.938099419641996,23.1,23.822023038690322,-3.5
2026-01-01 04:25:00,96.5,100.0,0,7.05,6.938099419641996,23.0,23.822023038690322,-3.5
2026-01-01 04:30:00,96.5,100.0,0,7.05,6.938099419641996,23.0,23.822023038690322,-3.5
